master_id,original_id,problem_name,category,stakeholders,root_cause,severity,frequency,impact,innovation_opportunity,one_line_solution,existing_solutions,existing_gaps,technology_tags,undp_alignment,bangladesh_relevance,source_agents,consensus_count
MPRB-0001,PRB-A-001,Inability to Determine Eligibility for Government Legal Aid (NLASO Means Test Opacity),A. Citizen Problems,Indigent Citizens; Marginalized Litigants; NLASO Staff; District Legal Aid Officers,"Income thresholds (BDT 100,000/yr for individuals, BDT 150,000/yr for women/children under NLASO gazette) are obscure, requiring complex manual documentation like Union Parishad income certificates that are prone to gatekeeping.",8,9,9,9,Multilingual conversational AI means-test validator connected via WhatsApp/SMS that assesses legal aid eligibility in 90 seconds.,Physical visits to District Legal Aid Offices; 16430 National Legal Aid Helpline; sporadic NGO informational brochures.,No real-time self-assessment tool; algorithmic means testing absent; lack of integration with national social safety net (NID/SSNP) databases.,Conversational AI; Rule Engine; WhatsApp Bot; API Integration; NID/Porichoy,3,10,Antigravity,1
MPRB-0002,PRB-A-002,Exploitation by Courtroom Middlemen (Dalaal Network Extortion),A. Citizen Problems,First-Time Litigants; Rural Citizens; Court Security; Bar Council,Asymmetry of court navigation knowledge; intimidating physical architecture; lack of official front-desk navigation or digital wayfinding.,9,9,9,8,Verified digital legal service marketplace with transparent fixed-fee or legal-aid matching and broker-alert GPS-fenced reporting.,Occasional anti-broker police drives; static notice boards; bar association identity cards.,Broker networks bypass physical checks; no verified digital directory of pro-bono advocates or authorized fees; no direct citizen booking channel.,Verified Directory; Marketplace Engine; Geo-Fencing; Whistleblower Tech; Reputation Scoring,5,10,Antigravity,1
MPRB-0003,PRB-A-003,Prohibitive Out-of-Pocket Travel and Daily Wage Loss for Routine Adjournments ('Taarikhe Taarikh'),A. Citizen Problems,Daily Wage Laborers; Rural Farmers; Garment Workers; District Judges,Court procedural requirement of physical appearance for perfunctory date extensions without actual hearings taking place.,9,10,9,9,Predictive hearing adjournment SMS notification and asynchronous virtual procedural appearance module.,Lawyer appearances without client; occasional virtual court pilots; cause list publication on website.,Cause lists updated late at night; no automated SMS notifications; no virtual appearance option for non-substantive procedural dates.,Predictive Analytics; SMS Gateway; Automated Cause List Parser; WebRTC Virtual Court,3,10,Antigravity,1
MPRB-0004,PRB-A-004,Incomprehensible Legal Jargon and Cognitive Alienation from English Court Orders,A. Citizen Problems,Citizens; High Court Litigants; Paralegals; Community Legal Workers,Colonial legal syntax and Supreme Court/High Court judgments delivered primarily in complex English or formal Sadhu-Bhasha legalese.,8,9,8,9,Domain-tuned legal LLM that ingests High Court judgment PDFs and outputs 3-bullet plain-language Bangla audio summaries.,Lawyers verbally summarizing orders; sporadic manual translations by legal portals; manual court summaries.,No automated plain-language Bangla simplifier; legal terms translated inaccurately by standard Google Translate; no audio explanation for illiterate citizens.,Domain-Specific LLM; Bangla NLP; Text-to-Speech; Legal Document Simplification,10,10,Antigravity,1
MPRB-0005,PRB-A-005,Total Darkness on Bail Status of Incarcerated Family Members,A. Citizen Problems,Families of Detainees; Under-Trial Prisoners (UTPs); Jail Authorities; Legal Aid Lawyers,"Disconnected paper records between District Sessions Courts, Chief Judicial Magistrate Courts, and Central/District Jails.",10,8,10,9,Cryptographically signed digital bail transfer network (FastBail-BD) linking courts to prison gates with automated SMS alerts to families.,Physical prison gate visits (Mulaqat); informal bribes to peons or wardens; private lawyer telephone calls.,No publicly searchable prison bail tracking portal; delay of 7-15 days in transmitting paper bail release orders (release perwana).,Digital Signature; Interoperability Bus; Automated SMS; Prisons API; Zero-Knowledge Proof,3,10,Antigravity,1
MPRB-0006,PRB-A-006,Fear of Retaliation and Lack of Anonymous Reporting for Local Land Grabbing,A. Citizen Problems,Vulnerable Landowners; Minority Communities; Char Dwellers; Local Administration,"Physical complaint lodgement requires naming oneself at local Thana or AC Land office, exposing victims to immediate intimidation.",9,8,9,8,Tor/Encrypted whistleblower mobile vault for reporting illegal land encroachment with automated geospatial satellite baseline verification.,National emergency 999; Anti-Corruption Commission hotline 106; physical writ petitions.,No tamper-proof anonymous whistleblower channel with geospatial evidence logging; fear of IP or phone number exposure.,End-to-End Encryption; Satellite Imagery API; GIS Mapping; Zero-Knowledge Whistleblower,5,10,Antigravity,1
MPRB-0007,PRB-B-001,Delayed and Insufficient Honorarium Reimbursement for Legal Aid Panel Lawyers,B. Lawyer Problems,Legal Aid Panel Lawyers; District Legal Aid Officers; Ministry of Law; Finance Ministry,Cumbersome paper voucher auditing processes; manual submission of cause list proof; bureaucratic multi-tier government accounting clearance.,8,9,9,8,Smart automated legal aid micro-billing system with auto-verification against digitized court cause lists and instant EFT payout.,Annual manual bill submission; paper registers in DLAO office; periodic physical audits.,Average bill clearance delay of 12-18 months; low honorarium rates disincentivize top-tier advocacy; no electronic billing.,e-Billing; Automated Causelist Cross-Check; BEFTN/iBAS++ Integration; Smart Invoicing,6,10,Antigravity,1
MPRB-0008,PRB-B-002,Severe Multi-Court Scheduling Conflicts ('Clashing Cause Lists'),B. Lawyer Problems,Litigation Lawyers; Junior Advocates; Court Benches; Litigants,"Simultaneous listing of matters across multiple Magistrate, Sessions, Special Tribunals, and Civil benches without synchronized scheduling.",8,10,8,9,Multi-court real-time digital docket tracker with automated conflict detection and peer-lawyer pass-over proxy dispatch.,Junior advocates running between courtrooms; verbal requests to pass-over cases; manual paper diary tracking.,No unified courtroom schedule registry; lack of real-time board progression status display; unexpected call-up leads to default dismissal.,Real-time Docket Sync; Push Notifications; Conflict Detection Algorithm; Mobile Workflow,3,9,Antigravity,1
MPRB-0009,PRB-B-003,"Lack of Centralized, Digitized Precedent Database for Subordinate Court Decisions",B. Lawyer Problems,District Bar Advocates; Appellate Lawyers; Judicial Trainees,"Only Supreme Court Appellate and High Court Division judgments are selectively published in Law Reports (DLR, BLC, MLR, ALR); subordinate court judgments remain locked in physical bundles.",8,9,8,9,"Semantic vector search engine for Bangladeshi statutory codes, High Court rulings, and anonymized district court ratio decidendi.",Printed law journals; expensive private CD-ROMs/subscriptions; word-of-mouth precedent citations.,Subordinate court rulings never digitized; no semantic search across Bangladeshi case law; search limited to Boolean title matching.,Vector Embeddings; RAG (Retrieval-Augmented Generation); Bangla Legal OCR; Semantic Search,3,9,Antigravity,1
MPRB-0010,PRB-B-004,Absence of Automated Legal Drafting Templates Compliant with Local Civil & Criminal Rules,B. Lawyer Problems,Junior Lawyers; Paralegals; Typists (Katibs),"Drafting relies on outdated physical precedents copied by court typists on stamp paper with frequent clerical, procedural, and jurisdictional errors.",7,8,7,9,AI legal drafting assistant pre-loaded with Civil Rules & Orders (CRO) and Criminal Rules & Orders compliant pleading generators.,Old Microsoft Word files passed between chambers; handwritten template books; katib manual typing.,No statutory auto-checking; missing mandatory affidavit clauses; zero verification of statutory limitation dates under Limitation Act 1908.,Generative AI; Document Automation; Statutory Rule Validation; Template Engine,3,9,Antigravity,1
